Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Week_16,Death_Registrations_Week_16_Per_100000,Death_Registrations_Care_Home_Week_16,Death_Registrations_Care_Home_Week_16_Per_100000,Death_Registrations_Hospital_Week_16,Death_Registrations_Hospital_Week_16_Per_100000,Death_Registrations_Home_Week_16,Death_Registrations_Home_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
Scotland,1,0,0,Perth and Kinross,S12000024,151290,5286,28.621,-0.733,0.508,0.031,0.021,0.004,46.8,,,,0,0.2,68.6,0.626,0,0.308,0.554,-0.273,-0.107,0.883,4.854,-0.559,1.35,0.39,5.495,617,407.8260295,181,119.6377817,263,173.8383237,159,105.0961729,354,233.9877057
Scotland,1,0,0,Renfrewshire,S12000038,177790,261,681.188,0.794,0.517,0.013,0.028,0.005,43.1,,,,0,0.267,108.3,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.85,7.471,-0.559,-1.437,0.28,5.7581,675,379.6613983,198,111.3673435,277,155.8017886,196,110.2424208,398,223.8596097
Scotland,1,0,0,Scottish Borders,S12000026,115270,4732,24.36,-0.676,0.514,0.011,0.013,0.003,48.7,-0.388,-0.651,0.673,0,0.133,68.2,0.626,0,0.198,0.289,2.078,0.465,0.8,6.956,-0.559,0.653,0.27,5.6399,454,393.8578988,81,70.26980134,208,180.4459096,116,100.6332957,246,213.4119892
Scotland,1,0,0,Shetland Islands,S12000027,22990,1468,15.661,-0.922,0.491,0.008,0.016,0.004,43.8,1.357,0.268,-1.543,5329,0,102.5,-1.506,1.91,1.074,-2.621,1.07,-0.393,0.82,5.912,-0.559,0.653,0.15,3.2506,67,291.431057,29,126.1418008,21,91.34406264,17,73.94519356,46,200.0869943
Scotland,1,0,0,South Ayrshire,S12000028,112550,1222,92.103,0.225,0.523,0.014,0.013,0.004,48.6,,-0.651,0.673,0,0.2,97.2,1.692,0.955,1.02,1.348,1.406,2.324,0.863,6.133,-0.559,-0.044,0.43,5.3699,537,477.1212794,155,137.7165704,245,217.6810307,137,121.7236784,292,259.4402488
Scotland,1,0,0,South Lanarkshire,S12000029,319020,1772,180.034,0.245,0.517,0.011,0.023,0.004,44.1,-0.194,-0.345,-0.593,0,0.133,94.6,0.84,0,-0.021,0.819,-0.609,-0.107,0.838,6.411,1.597,-0.044,0.23,6.1164,1244,389.9442041,311,97.48605103,538,168.6414645,392,122.8763087,706,221.3027396
Scotland,1,0,0,Stirling,S12000030,94330,2187,43.132,-0.245,0.518,0.048,0.032,0.005,42.1,,,,0,0.333,78.5,-0.013,-0.955,-0.075,0.025,-0.273,0.179,0.93,4.544,-0.559,-0.044,0.3,5.4804,292,309.5515743,85,90.10919114,119,126.1528676,87,92.2294074,173,183.3987067
Scotland,1,0,0,West Dunbartonshire,S12000039,89130,159,560.566,1.108,0.523,0.008,0.016,0.005,43.2,,,,0,0.267,119.3,-0.653,-0.955,-0.951,0.554,-0.945,-0.679,0.883,6.613,-0.559,-1.437,0.19,5.4398,368,412.8800628,79,88.63457871,146,163.8056771,143,160.439807,222,249.0743857
Scotland,1,0,0,West Lothian,S12000040,182140,428,425.561,-0.383,0.51,0.01,0.025,0.007,40.9,,,,0,0.2,84.9,-1.506,-0.955,-1.17,-0.769,-0.273,-1.108,0.833,7.132,-0.559,-0.044,0.24,6.0254,569,312.3970572,119,65.33435819,270,148.2376194,180,98.82507961,299,164.1594378
England,0,1,0,Hartlepool,E06000001,93242,94,991.936,2.754,0.512,0.01,0.023,0.004,41.8,2.117,1.58,-0.104,0,0,95.7,0.364,0.895,0.978,1.038,1.024,-0.156,0.74,9.125,-0.559,0.603,0.219,7.3237,336,360.3526308,90,96.5230261,137,146.9294953,82,87.94320156,199,213.4231355
England,0,1,0,Middlesbrough,E06000002,140545,54,2602.685,3.955,0.506,0.016,0.118,0.008,36.2,1.172,1.58,-0.905,0,0,113.4,-0.132,-0.234,-0.28,0.634,-0.329,-0.625,0.753,9.349,-0.559,-0.128,0.219,8.0331,524,372.8343235,174,123.8037639,190,135.1880181,132,93.92009677,334,237.6463055
England,0,1,0,Redcar and Cleveland,E06000003,136718,245,558.033,1.579,0.514,0.009,0.015,0.002,45,1.162,0.578,0.768,28836,0,92,0.918,0.2,1.303,1.253,0.113,0.299,0.755,9.289,-0.559,0.721,0.219,7.389,524,383.2706739,139,101.6691292,233,170.423792,127,92.89193815,291,212.8468819
England,0,1,0,Stockton-on-Tees,E06000004,197213,205,962.015,1.291,0.507,0.019,0.054,0.003,40.4,1.645,-0.089,0.062,0,0,74.6,-0.636,-0.066,-0.218,0.012,-0.193,-0.437,0.74,9.492,1.417,0.938,0.219,7.6095,631,319.9586234,191,96.84959916,272,137.9219423,136,68.96097113,359,182.0366812
England,0,1,0,Darlington,E06000005,106566,197,540.944,1.065,0.513,0.014,0.038,0.003,43.1,2.058,0.912,0.544,0,0,73.3,0.148,0.761,0.182,0.347,0.878,-0.007,0.74,8.978,-0.559,0.944,0.219,7.1363,430,403.5058086,124,116.3598146,161,151.0800818,119,111.6678866,269,252.4257268
England,0,1,0,Halton,E06000006,128432,79,1625.722,2.32,0.512,0.007,0.022,0.003,41,1.983,0.912,0.557,0,0.133,91.2,-0.008,1.493,0.675,0.545,1.57,-0.705,0.765,9.143,-0.559,-0.528,0.39,8.6189,434,337.9220132,65,50.61043977,230,179.0830946,108,84.09119223,204,158.8389186
England,0,1,0,Warrington,E06000007,209547,181,1157.718,0.058,0.503,0.017,0.041,0.003,42.2,0.142,-0.423,-0.083,0,0.133,74.2,-0.811,0.095,0.57,-0.266,-0.008,-0.389,0.758,9.485,1.489,-0.052,0.39,8.2857,667,318.3056784,168,80.17294449,297,141.7343126,157,74.92352551,370,176.5713659
England,0,1,0,Blackburn with Darwen,E06000008,148942,137,1087.168,2.759,0.499,0.011,0.309,0.01,36.3,0.651,0.912,-0.878,0,0,115.7,1.571,-0.016,-0.527,0.1,-0.108,-0.701,0.835,7.114,-0.559,-0.765,0.39,7.8752,449,301.4596286,100,67.14022908,203,136.294665,115,77.21126344,246,165.1649635
England,0,1,0,Blackpool,E06000009,139305,35,3980.143,3.256,0.504,0.029,0.035,0.004,43.5,2.026,2.915,0.926,0,0,120.7,1.2,0.796,1.042,2.321,0.954,0.289,0.81,8.269,-0.559,1.133,0.39,7.195,679,487.4196906,150,107.6773985,306,219.661893,169,121.3165357,373,267.7577976
England,0,1,0,"Kingston upon Hull, City of",E06000010,260645,71,3671.056,3.607,0.496,0.014,0.059,0.006,35.6,0.706,2.581,-0.157,9752,0,105.2,-0.892,0.662,-0.502,0.569,0.667,-1.012,0.723,10.658,1.13,-0.347,0.403,9.7553,867,332.6363445,194,74.43073913,412,158.0694047,200,76.73272075,455,174.5669397
England,0,1,0,East Riding of Yorkshire,E06000011,339614,2405,141.212,-0.102,0.509,0.022,0.02,0.002,48.8,1.04,-0.757,0.36,11528,0,68.6,0.623,1.263,0.895,0.53,1.406,0.901,0.743,9.732,-0.559,1.043,0.403,8.335,1400,412.2327113,407,119.8419382,559,164.5986326,340,100.1136584,841,247.6340787
England,0,1,0,North East Lincolnshire,E06000012,159821,192,832.401,2.181,0.509,0.011,0.027,0.003,42.4,1.218,1.913,0.778,55617,0,88.7,0.245,0.552,0.569,1.374,0.451,0.071,0.75,10.056,-0.559,0.554,0.403,9.2382,577,361.0289011,148,92.60360028,239,149.5423004,139,86.97230026,338,211.4866006
England,0,1,0,North Lincolnshire,E06000013,172005,846,203.316,0.345,0.505,0.009,0.04,0.003,44.1,0.857,0.912,0.051,1109,0,72.9,0.31,0.437,1.062,0.788,0.27,,0.738,10.276,-0.559,0.151,0.403,9.0144,629,365.687044,158,91.85779483,256,148.8328828,138,80.23022587,373,216.8541612
England,0,1,0,York,E06000014,209893,272,771.665,-0.612,0.51,0.039,0.058,0.004,37.6,-0.728,-1.09,-0.572,0,0,62.5,-2.349,-0.439,-1.236,-1.015,-0.444,-0.352,0.735,9.971,1.597,-0.324,0.403,8.0918,626,298.2472021,169,80.51721591,246,117.2025746,156,74.32358392,380,181.0446275
England,0,1,0,Derby,E06000015,257174,78,3297.103,0.821,0.505,0.017,0.197,0.01,36.9,0.103,0.912,-0.756,0,0,82.5,0.276,-0.009,0.777,-0.051,-0.098,-0.445,0.775,10.282,1.74,-0.005,0.495,9.2605,848,329.7378429,203,78.93488455,393,152.8148258,190,73.87994121,455,176.9230171
England,0,1,0,Leicester,E06000016,355218,73,4866,1.241,0.499,0.025,0.496,0.026,31.6,-0.828,0.578,-2.778,0,0,107.6,2.768,-0.07,-1.722,-0.934,-0.222,-1.201,0.778,10.337,1.633,-0.873,0.495,10.2674,869,244.6385037,184,51.79917684,372,104.7244227,244,68.69021277,497,139.9140809
England,0,1,0,Rutland,E06000017,39697,382,103.919,-0.691,0.489,0.083,0.03,0.002,47,0.363,-1.424,2.222,0,0,40,-0.105,-0.453,0.588,-0.191,-0.455,0.84,0.775,10.289,-0.559,0.445,0.495,9.1201,144,362.7478147,40,100.7632819,48,120.9159382,49,123.4350203,96,241.8318765
England,0,1,0,Nottingham,E06000018,331069,75,4414.253,2.236,0.492,0.052,0.288,0.012,29.7,-0.746,1.246,-1.976,0,0,107.3,-1.177,-1.417,-1.976,-0.745,-1.095,-1.648,0.76,10.238,1.597,-0.927,0.495,9.5331,811,244.9640407,156,47.12008675,402,121.4248389,204,61.61857498,409,123.5392018
England,0,1,0,"Herefordshire, County of",E06000019,192107,2180,88.122,-0.609,0.505,0.016,0.019,0.004,47,0.105,-0.089,-0.062,0,0,65.1,1.102,1.79,0.848,1.058,1.866,0.876,0.783,10.371,-0.559,0.58,0.414,7.8403,769,400.2977507,197,102.5470181,305,158.7656879,197,102.5470181,464,241.5320629
England,0,1,0,Telford and Wrekin,E06000020,177799,290,613.1,0.895,0.503,0.013,0.074,0.004,39.4,0.426,0.912,0.256,0,0,83.6,-0.076,0.324,0.208,0.206,0.222,-0.771,0.775,10.304,-0.559,-0.94,0.414,7.7167,594,334.0851186,150,84.36492894,253,142.2955135,137,77.05330176,341,191.7896051
England,0,1,0,Stoke-on-Trent,E06000021,255833,93,2750.892,2.361,0.497,0.012,0.114,0.007,37.7,2.517,1.58,-0.215,0,0,89.4,0.214,0.643,0.239,0.841,0.619,-0.508,0.803,9.225,1.489,0.7,0.414,8.1225,869,339.6747097,192,75.04895772,397,155.1793553,199,77.78511764,472,184.4953544
England,0,1,0,Bath and North East Somerset,E06000022,192106,346,555.22,-0.525,0.505,0.034,0.056,0.003,38.2,-0.794,-1.09,-0.785,0,0,58.1,-1.625,-0.348,-0.751,-0.74,-0.41,0.053,0.835,9.497,2.1,-0.105,0.498,8.7981,587,305.5604718,188,97.86263834,199,103.5886438,171,89.01335721,388,201.9718281
England,0,1,0,"Bristol, City of",E06000023,463405,110,4212.773,0.792,0.499,0.022,0.162,0.013,32.5,-0.936,1.246,-0.455,8446,0,79.5,-1.967,-0.963,-1.668,-0.653,-0.72,-1.251,0.815,9.796,1.812,-0.893,0.498,9.9991,1145,247.0840841,310,66.89612758,457,98.61783969,305,65.81715778,688,148.4662444
England,0,1,0,North Somerset,E06000024,213919,374,571.976,-0.127,0.513,0.016,0.028,0.002,45.9,-0.099,-0.089,1.02,0,0,59.3,0.167,1.9,0.506,0.401,2.028,0.919,0.843,9.272,-0.559,1.038,0.498,8.1768,789,368.8311931,267,124.8135977,325,151.9266638,158,73.85973195,464,216.9045293
England,0,1,0,South Gloucestershire,E06000025,282644,497,568.7,-0.691,0.504,0.017,0.051,0.003,40.7,-0.126,-0.757,-0.039,0,0,56.9,-1.35,-0.059,-0.632,-0.624,-0.162,-0.117,0.815,9.782,2.064,-0.261,0.498,9.7531,765,270.6584962,192,67.92997552,292,103.3101711,226,79.95924201,473,167.3483251
England,0,1,0,Plymouth,E06000026,263100,80,3288.75,0.963,0.502,0.021,0.039,0.005,38.3,0.533,0.912,0.552,2441,0,78.8,-0.881,0.676,-0.567,0.49,0.787,-0.537,0.83,10.581,1.704,-0.679,0.498,7.6226,866,329.1524135,253,96.16115545,328,124.6674268,230,87.41923223,538,204.4849867
England,0,1,0,Torbay,E06000027,135780,63,2155.238,0.805,0.513,0.023,0.026,0.004,48.6,0.284,0.912,1.545,0,0,74.7,2.301,1.773,1.649,2.7,1.859,1.379,0.828,10.811,-0.559,1.441,0.498,6.6506,618,455.1480336,174,128.1484755,235,173.0740904,172,126.6755045,383,282.0739431
England,0,1,0,Swindon,E06000030,221996,230,965.2,0.174,0.501,0.006,0.102,0.009,39.8,0.558,-0.089,-0.007,0,0,65.4,-1.08,-0.185,-0.551,-0.604,-0.292,-0.806,0.828,10.044,1.704,-0.955,0.498,10.2743,621,279.73477,139,62.61374079,269,121.1733545,175,78.83024919,352,158.5614155
England,0,1,0,Peterborough,E06000031,201041,343,586.125,0.668,0.498,0.01,0.175,0.012,36.5,0.309,2.581,0.091,0,0,87,0.012,-0.76,0.521,0.017,-0.522,-0.809,0.763,11.154,1.668,-0.721,0.455,10.1494,555,276.0630916,122,60.68413906,264,131.3164976,137,68.14530369,291,144.746594
England,0,1,0,Luton,E06000032,214109,43,4979.279,-0.376,0.493,0.008,0.455,0.029,34.2,0.298,0.912,-1.908,0,0,92.9,1.806,-0.271,-1.397,-0.753,-0.336,-1.155,0.8,10.536,1.704,-1.669,0.455,11.3321,522,243.8010546,120,56.04621945,235,109.7571798,133,62.11789322,287,134.0438748
England,0,1,0,Southend-on-Sea,E06000033,182463,42,4344.357,0.109,0.51,0.012,0.096,0.008,41.6,-0.68,0.912,0.683,0,0,69.6,0.144,0.536,0.394,0.656,0.362,0.182,0.758,11.994,1.848,0.749,0.455,10.2649,661,362.2652264,197,107.9670947,287,157.2921633,157,86.04484197,374,204.973063
England,0,1,0,Thurrock,E06000034,172525,163,1058.436,-0.303,0.506,0.004,0.143,0.011,36.9,0.047,0.578,-0.552,53196,0,83,-0.957,0.528,-0.182,-0.363,0.35,-1.069,0.728,12.549,-0.559,-1.194,0.455,11.4523,512,296.7685843,111,64.33850167,212,122.8807419,117,67.81625851,300,173.8878423
England,0,1,0,Medway,E06000035,277855,194,1432.242,0.126,0.505,0.015,0.104,0.007,38.1,0.565,0.912,-0.094,10205,0,69.2,-0.879,0.633,-0.551,-0.349,0.546,-0.835,0.758,12.024,-0.559,-1.255,0.619,12.0612,801,288.2798582,158,56.86419175,343,123.4456821,201,72.33988951,458,164.8341761
England,0,1,0,Bracknell Forest,E06000036,121676,109,1116.294,-0.691,0.503,0.024,0.095,0.005,39.1,-0.644,-0.423,0.224,0,0.133,53.8,-2.243,-0.792,-1.343,-1.343,-0.564,-1.074,0.8,11.028,-0.559,-1.365,0.619,10.6043,266,218.6133666,42,34.5179,126,103.5537,73,59.99539761,140,115.0596667
England,0,1,0,West Berkshire,E06000037,158527,704,225.18,-0.691,0.505,0.019,0.053,0.003,43.2,-1.315,-0.757,0.583,0,0.133,48.6,-1.06,-0.156,-0.039,-0.843,-0.281,-0.387,0.82,10.056,-0.559,-0.7,0.619,9.8118,428,269.9855545,85,53.61862648,205,129.3155109,119,75.06607707,223,140.6700436
England,0,1,0,Reading,E06000038,163203,40,4080.075,-0.201,0.495,0.028,0.255,0.016,34.4,-1.572,-0.423,-1.342,0,0.133,78.7,-1.632,-0.993,-0.993,-1.267,-0.819,-1.577,0.803,11.135,1.992,-1.477,0.619,11.6694,401,245.7062677,66,40.44043308,184,112.7430256,101,61.88611729,217,132.9632421
England,0,1,0,Slough,E06000039,149112,33,4518.545,-0.691,0.495,0.004,0.544,0.038,34.8,0.191,0.245,-2.855,0,0.133,108.9,2.097,-0.855,-1.584,-1.687,-0.653,-1.659,0.77,11.686,-0.559,-2.216,0.619,12.0684,266,178.3893986,44,29.50802082,126,84.50024143,76,50.96839959,140,93.88915714
England,0,1,0,Windsor and Maidenhead,E06000040,150906,197,766.02,-0.691,0.504,0.024,0.142,0.006,42.1,-1.95,-1.09,-0.852,0,0.133,50.4,-0.826,-1.093,-0.983,-0.788,-0.868,0.035,0.785,11.429,-0.559,0.074,0.619,10.7974,507,335.9707368,179,118.6168873,185,122.5928724,113,74.88105178,322,213.3778644
England,0,1,0,Wokingham,E06000041,167979,179,938.43,-0.691,0.507,0.017,0.119,0.003,41.6,-1.514,-1.424,-0.794,0,0.133,46.7,-1.597,-0.045,-0.717,-1.219,-0.138,-0.268,0.8,11.242,-0.559,-0.244,0.619,10.8497,399,237.5296912,98,58.34062591,179,106.5609392,103,61.31718846,220,130.968752
England,0,1,0,Milton Keynes,E06000042,268607,309,869.278,-0.191,0.505,0.008,0.201,0.013,37.6,-0.465,0.245,-0.705,0,0,71.4,-1.149,-0.835,-0.944,-0.884,-0.619,-1.466,0.795,10.631,-0.559,-1.472,0.619,10.8559,661,246.0844282,154,57.33283198,292,108.7090061,160,59.56657868,369,137.3754221
England,0,1,0,Brighton and Hove,E06000043,290395,83,3498.735,0.174,0.498,0.027,0.119,0.01,35.4,-2.375,1.246,0.869,0,0,72.9,-2.288,-1.538,-2.118,-0.585,-1.27,-1.296,0.815,10.953,2.225,-0.978,0.619,10.8699,717,246.9050776,166,57.16351866,272,93.66552454,195,67.14991649,445,153.239553
England,0,1,0,Portsmouth,E06000044,215133,40,5378.325,0.451,0.49,0.024,0.117,0.008,33.9,0.181,1.246,0.278,3488,0,84.1,-1.879,-0.986,-1.28,-0.257,-0.74,-1.147,0.803,11.204,1.668,-0.711,0.619,12.4224,554,257.5151186,130,60.4277354,226,105.0512939,163,75.76708362,328,152.4638247
England,0,1,0,Southampton,E06000045,252796,50,5055.92,0.531,0.489,0.036,0.142,0.013,32.2,-0.415,1.246,-1.335,34468,0,80.7,-2.025,-0.84,-1.65,-0.813,-0.623,-1.352,0.803,11.235,1.704,-1.212,0.619,11.2241,624,246.8393487,136,53.79831959,301,119.0683397,172,68.03905125,323,127.771009
