Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Leicester,E06000016,355218,73,4866,1.241,0.499,0.025,0.496,0.026,31.6,-0.828,0.578,-2.778,0,0,107.6,2.768,-0.07,-1.722,-0.934,-0.222,-1.201,0.778,10.337,1.633,-0.873,0.495,10.2674,83,23.366,10,2.815,70,19.706,0,0,13,3.66
England,0,1,0,Rutland,E06000017,39697,382,103.919,-0.691,0.489,0.083,0.03,0.002,47,0.363,-1.424,2.222,0,0,40,-0.105,-0.453,0.588,-0.191,-0.455,0.84,0.775,10.289,-0.559,0.445,0.495,9.1201,3,7.557,0,0,2,5.038,0,0,1,2.519
England,0,1,0,Nottingham,E06000018,331069,75,4414.253,2.236,0.492,0.052,0.288,0.012,29.7,-0.746,1.246,-1.976,0,0,107.3,-1.177,-1.417,-1.976,-0.745,-1.095,-1.648,0.76,10.238,1.597,-0.927,0.495,9.5331,71,21.446,12,3.625,56,16.915,3,0.906,15,4.531
England,0,1,0,"Herefordshire, County of",E06000019,192107,2180,88.122,-0.609,0.505,0.016,0.019,0.004,47,0.105,-0.089,-0.062,0,0,65.1,1.102,1.79,0.848,1.058,1.866,0.876,0.783,10.371,-0.559,0.58,0.414,7.8403,28,14.575,1,0.521,25,13.014,0,0,3,1.562
England,0,1,0,Telford and Wrekin,E06000020,177799,290,613.1,0.895,0.503,0.013,0.074,0.004,39.4,0.426,0.912,0.256,0,0,83.6,-0.076,0.324,0.208,0.206,0.222,-0.771,0.775,10.304,-0.559,-0.94,0.414,7.7167,34,19.123,5,2.812,26,14.623,2,1.125,8,4.499
England,0,1,0,Stoke-on-Trent,E06000021,255833,93,2750.892,2.361,0.497,0.012,0.114,0.007,37.7,2.517,1.58,-0.215,0,0,89.4,0.214,0.643,0.239,0.841,0.619,-0.508,0.803,9.225,1.489,0.7,0.414,8.1225,40,15.635,8,3.127,28,10.945,2,0.782,12,4.691
England,0,1,0,Bath and North East Somerset,E06000022,192106,346,555.22,-0.525,0.505,0.034,0.056,0.003,38.2,-0.794,-1.09,-0.785,0,0,58.1,-1.625,-0.348,-0.751,-0.74,-0.41,0.053,0.835,9.497,2.1,-0.105,0.498,8.7981,42,21.863,18,9.37,24,12.493,0,0,18,9.37
England,0,1,0,"Bristol, City of",E06000023,463405,110,4212.773,0.792,0.499,0.022,0.162,0.013,32.5,-0.936,1.246,-0.455,8446,0,79.5,-1.967,-0.963,-1.668,-0.653,-0.72,-1.251,0.815,9.796,1.812,-0.893,0.498,9.9991,90,19.421,33,7.121,50,10.79,4,0.863,40,8.632
England,0,1,0,North Somerset,E06000024,213919,374,571.976,-0.127,0.513,0.016,0.028,0.002,45.9,-0.099,-0.089,1.02,0,0,59.3,0.167,1.9,0.506,0.401,2.028,0.919,0.843,9.272,-0.559,1.038,0.498,8.1768,25,11.687,4,1.87,18,8.414,3,1.402,7,3.272
England,0,1,0,South Gloucestershire,E06000025,282644,497,568.7,-0.691,0.504,0.017,0.051,0.003,40.7,-0.126,-0.757,-0.039,0,0,56.9,-1.35,-0.059,-0.632,-0.624,-0.162,-0.117,0.815,9.782,2.064,-0.261,0.498,9.7531,64,22.643,19,6.722,43,15.213,2,0.708,21,7.43
