Country,Scotland,England,Wales,Local_Authority,Area_Code,Population_mid_2018,Area_sq_km,Density_People_sq_km,Local_Proportion_Decile_1_Z_Ind_IMD,Females_2018,Lives_In_Communal,BAME_Including_Jews,Over_1_5_Per_Room,Median_Age_2018,Obese_Z_Ind,Current_Smoking_Z_Ind,Ex_Smoker_Z_Ind,Tonnes_Port_Over_750,Passengers_To_From_Pop_Stand_Normalised,Age_Standardised_CVD_Deaths_U75_100000,Diabetes_Prevalence_Z_Ind,RA_Z_Ind,HTN_Z_Ind,COPD_Z_Ind,Cancer_Z_Ind,CKD_Z_Ind,Average_Humid_23_2_1_3_8_3_15_3,Average_tempHighCel_23_2_1_3_8_3_15_3,Coronavirus_Google_010220_190320,Dementia_Z_Ind,Self_Funders_2017,PM_2_5_Total_2018,Death_Registrations_Covid_Week_16,Death_Registrations_Covid_Week_16_Per_100000,Death_Registrations_Care_Home_Covid_Week_16,Death_Registrations_Care_Home_Covid_Week_16_Per_100000,Death_Registrations_Hospital_Covid_Week_16,Death_Registrations_Hospital_Covid_Week_16_Per_100000,Death_Registrations_Home_Covid_Week_16,Death_Registrations_Home_Covid_Week_16_Per_100000,Death_Registrations_OoHosp_Week_16,Death_Registrations_OoHosp_Week_16_Per_100000
England,0,1,0,Gravesham,E07000109,106385,99,1074.596,-0.393,0.508,0.007,0.172,0.010,39.6,-0.46,0.245,-0.082,0,0.067,62.6,-0.169,0.577,-0.33,0.105,0.453,-0.196,0.763,11.562,-0.559,-0.011,0.619,11.7332,36,33.839,1,0.94,33,31.019,0,0,3,2.82
England,0,1,0,Maidstone,E07000110,169955,393,432.455,-0.49,0.507,0.017,0.06,0.006,41.4,-0.46,-0.089,0.268,0,0.067,55.6,-0.169,0.577,-0.349,-0.641,0.453,-0.049,0.793,11.346,-0.559,-0.011,0.619,10.6754,27,15.887,10,5.884,15,8.826,2,1.177,12,7.061
England,0,1,0,Sevenoaks,E07000111,120293,369,325.997,-0.691,0.514,0.011,0.044,0.003,44.1,-0.46,-1.09,0.013,0,0.067,50.3,-0.169,0.577,-0.068,0.258,0.453,0.507,0.79,11.099,-0.559,-0.011,0.619,10.3268,36,29.927,6,4.988,28,23.276,1,0.831,8,6.65
England,0,1,0,Folkestone and Hythe,E07000112,112578,357,315.345,-0.123,0.505,0.017,0.054,0.009,46.9,-0.46,0.578,1.463,0,0.067,63.4,-0.169,0.577,0.959,1.433,0.453,,0.805,11.435,-0.559,-0.011,,9.6799,21,18.654,3,2.665,17,15.101,0,0,4,3.553
England,0,1,0,Swale,E07000113,148519,374,397.11,1.099,0.505,0.018,0.035,0.005,41.3,-0.46,1.246,0.984,0,0.067,67.1,-0.169,0.577,0.401,0.667,0.453,-0.202,0.775,11.947,-0.559,-0.011,0.619,10.5563,39,26.259,5,3.367,31,20.873,3,2.02,8,5.387
England,0,1,0,Thanet,E07000114,141819,103,1376.883,1.348,0.516,0.018,0.047,0.007,44.7,-0.46,1.58,0.689,0,0.067,78,-0.169,0.577,1.075,2.625,0.453,0.924,0.78,11.479,-0.559,-0.011,0.619,10.2372,39,27.5,8,5.641,27,19.038,2,1.41,12,8.461
England,0,1,0,Tonbridge and Malling,E07000115,130508,240,543.783,-0.691,0.511,0.012,0.042,0.003,42.3,-0.46,-0.757,-0.205,0,0.067,53,-0.169,0.577,-0.395,-0.334,0.453,-0.034,0.795,11.028,-0.559,-0.011,0.619,10.5968,19,14.558,4,3.065,15,11.494,0,0,4,3.065
England,0,1,0,Tunbridge Wells,E07000116,118054,331,356.659,-0.691,0.507,0.021,0.052,0.006,43,-0.46,-0.757,0.319,0,0.067,57.6,-0.169,0.577,-0.76,-0.529,0.453,-0.023,0.798,11.365,-0.559,-0.011,0.619,9.8733,16,13.553,6,5.082,8,6.777,2,1.694,8,6.777
England,0,1,0,Burnley,E07000117,88527,111,797.541,2.955,0.507,0.011,0.127,0.007,39.9,0.199,0.912,0.57,0,0.133,101,0.385,0.376,0.294,1.49,0.232,-0.196,0.833,6.883,-0.559,0.475,0.39,7.9459,23,25.981,3,3.389,20,22.592,0,0,3,3.389
England,0,1,0,Chorley,E07000118,116821,203,575.473,-0.258,0.5,0.027,0.031,0.003,43.4,0.199,-0.089,0.315,0,0.133,71.9,0.385,0.376,0.028,-0.051,0.232,-0.176,0.813,7.742,-0.559,0.475,0.39,7.6108,35,29.96,5,4.28,29,24.824,0,0,6,5.136
England,0,1,0,Fylde,E07000119,79770,166,480.542,-0.318,0.511,0.023,0.029,0.001,50.1,0.199,-0.757,1.31,0,0.133,65.6,0.385,0.376,1.455,0.797,0.232,1.614,0.813,8.049,-0.559,0.475,0.39,6.4481,23,28.833,7,8.775,16,20.058,0,0,7,8.775
England,0,1,0,Hyndburn,E07000120,80815,73,1107.055,1.87,0.506,0.008,0.123,0.008,39.7,0.199,1.913,0.742,0,0.133,94.6,0.385,0.376,0.35,0.914,0.232,-0.273,0.83,7.321,-0.559,0.475,0.39,8.0695,18,22.273,0,0,15,18.561,2,2.475,3,3.712
England,0,1,0,Lancaster,E07000121,144246,576,250.427,0.699,0.506,0.065,0.044,0.004,39.7,0.199,0.245,0.742,4703,0.133,77.2,0.385,0.376,-0.208,0.423,0.232,-0.032,0.878,5.883,1.776,0.475,0.39,6.9923,34,23.571,2,1.387,30,20.798,0,0,4,2.773
England,0,1,0,Pendle,E07000122,91405,169,540.858,2.313,0.504,0.007,0.202,0.009,39.7,0.199,1.246,0.109,0,0.133,90.1,0.385,0.376,0.783,0.562,0.232,-0.061,0.848,6.204,-0.559,0.475,0.39,7.9208,29,31.727,4,4.376,22,24.069,2,2.188,7,7.658
England,0,1,0,Preston,E07000123,141818,142,998.718,1.078,0.493,0.041,0.199,0.008,35.2,0.199,0.912,-0.708,0,0.133,93.1,0.385,0.376,-1.22,-0.404,0.232,-0.88,0.825,7.622,-0.559,0.475,0.39,8.0007,35,24.68,2,1.41,28,19.744,4,2.821,7,4.936
England,0,1,0,Ribble Valley,E07000124,60057,583,103.014,-0.691,0.509,0.021,0.022,0.001,47.9,0.199,-1.424,0.656,0,0.133,64.8,0.385,0.376,0.209,-0.286,0.232,0.744,0.883,5.558,-0.559,0.475,0.39,6.5522,8,13.321,1,1.665,7,11.656,0,0,1,1.665
England,0,1,0,Rossendale,E07000125,70895,138,513.732,0.636,0.507,0.011,0.063,0.004,42.5,0.199,1.246,0.048,0,0.133,82.5,0.385,0.376,0.089,0.73,0.232,-0.383,0.865,5.653,-0.559,0.475,0.39,7.0187,10,14.105,2,2.821,7,9.874,1,1.411,3,4.232
England,0,1,0,South Ribble,E07000126,110527,113,978.115,-0.283,0.511,0.008,0.03,0.001,44.3,0.199,-0.423,1.055,0,0.133,62.8,0.385,0.376,0.029,-0.307,0.232,0.074,0.81,7.965,-0.559,0.475,0.39,7.6678,28,25.333,2,1.81,23,20.809,3,2.714,5,4.524
England,0,1,0,West Lancashire,E07000127,113949,347,328.383,0.091,0.516,0.018,0.019,0.002,44.4,0.199,-0.757,-0.372,0,0.133,71.4,0.385,0.376,0.016,-0.099,0.232,0.203,0.778,8.567,-0.559,0.475,0.39,7.3104,38,33.348,5,4.388,32,28.083,1,0.878,6,5.266
England,0,1,0,Wyre,E07000128,111223,282,394.408,0.687,0.512,0.017,0.018,0.002,49.5,0.199,-0.089,1.673,0,0.133,76,0.385,0.376,2.123,1.094,0.232,1.636,0.82,7.797,-0.559,0.475,0.39,6.5696,21,18.881,1,0.899,19,17.083,1,0.899,2,1.798
England,0,1,0,Blaby,E07000129,100421,130,772.469,-0.691,0.512,0.011,0.091,0.002,43,-0.225,-1.09,0.755,0,0,54.2,-0.293,0.122,0.25,-0.859,0.034,0.293,0.783,10.257,-0.559,0.497,0.495,9.6091,19,18.92,0,0,18,17.925,1,0.996,1,0.996
England,0,1,0,Charnwood,E07000130,182643,279,654.634,-0.499,0.495,0.044,0.127,0.004,38.5,-0.225,-0.757,-0.803,0,0,65.3,-0.293,0.122,-0.978,-0.931,0.034,-0.25,0.765,10.565,-0.559,0.497,0.495,9.272,39,21.353,12,6.57,25,13.688,2,1.095,14,7.665
England,0,1,0,Harborough,E07000131,92499,592,156.248,-0.691,0.506,0.016,0.049,0.002,46.1,-0.225,-1.424,0.59,0,0,50.7,-0.293,0.122,0.145,-1.146,0.034,0.411,0.783,10.122,1.597,0.497,0.495,8.9883,16,17.297,4,4.324,10,10.811,2,2.162,6,6.487
England,0,1,0,Hinckley and Bosworth,E07000132,112423,297,378.529,-0.691,0.509,0.008,0.036,0.002,45,-0.225,-0.423,0.805,0,0,57.7,-0.293,0.122,0.509,-0.407,0.034,0.262,0.78,10.301,-0.559,0.497,0.495,9.1404,22,19.569,2,1.779,19,16.9,1,0.889,3,2.668
England,0,1,0,Melton,E07000133,51100,481,106.237,-0.691,0.511,0.009,0.021,0.003,47.1,-0.225,-0.089,0.275,0,0,54.5,-0.293,0.122,-0.001,-0.69,0.034,0.286,0.778,9.978,-0.559,0.497,0.495,8.6671,16,31.311,7,13.699,8,15.656,1,1.957,8,15.656
England,0,1,0,North West Leicestershire,E07000134,102126,279,366.043,-0.363,0.505,0.008,0.025,0.002,43.9,-0.225,-0.089,0.183,0,0,68.2,-0.293,0.122,0.956,0.215,0.034,0.016,0.79,9.814,-0.559,0.497,0.495,8.6346,30,29.375,8,7.833,21,20.563,1,0.979,9,8.813
England,0,1,0,Oadby and Wigston,E07000135,57056,24,2377.333,-0.691,0.514,0.043,0.272,0.003,42.7,-0.225,-1.09,-0.838,0,0,65,-0.293,0.122,-0.209,0.301,0.034,0.865,0.785,10.074,-0.559,0.497,0.495,9.4226,21,36.806,4,7.011,17,29.795,0,0,4,7.011
England,0,1,0,Boston,E07000136,69366,365,190.044,-0.426,0.503,0.014,0.032,0.008,41.8,1.145,2.581,-0.259,711,0,85.3,0.629,0.662,0.821,1.397,0.688,0.408,0.76,10.762,-0.559,0.604,0.495,9.4071,11,15.858,1,1.442,10,14.416,0,0,1,1.442
England,0,1,0,East Lindsey,E07000137,140741,1765,79.74,0.836,0.512,0.022,0.016,0.003,52,1.145,0.578,1.868,0,0,90.3,0.629,0.662,2.782,2.909,0.688,1.66,0.768,9.647,1.273,0.604,0.495,8.7445,13,9.237,0,0,12,8.526,1,0.711,1,0.711
England,0,1,0,Lincoln,E07000138,99039,36,2751.083,0.978,0.503,0.061,0.045,0.007,33.5,1.145,1.58,-0.08,0,0,112.8,0.629,0.662,-1.343,-0.411,0.688,-1.108,0.75,9.862,-0.559,0.604,0.495,9.589,8,8.078,0,0,6,6.058,2,2.019,2,2.019
England,0,1,0,North Kesteven,E07000139,115985,922,125.797,-0.691,0.512,0.017,0.018,0.001,46.1,1.145,-0.757,1.059,0,0,59.9,0.629,0.662,0.438,-0.226,0.688,0.705,0.763,9.921,-0.559,0.604,0.495,9.2036,22,18.968,5,4.311,16,13.795,0,0,6,5.173
England,0,1,0,South Holland,E07000140,93980,751,125.14,-0.691,0.508,0.01,0.022,0.005,46.2,1.145,1.58,0.295,0,0,85.1,0.629,0.662,1.552,1.046,0.688,1.086,0.755,11.221,-0.559,0.604,0.495,9.3682,15,15.961,0,0,15,15.961,0,0,0,0
England,0,1,0,South Kesteven,E07000141,141853,943,150.427,-0.574,0.518,0.01,0.026,0.002,46.2,1.145,-0.423,0.615,0,0,57.9,0.629,0.662,0.528,0.223,0.688,0.383,0.768,10.339,-0.559,0.604,0.495,9.2777,14,9.869,3,2.115,10,7.05,0,0,4,2.82
England,0,1,0,West Lindsey,E07000142,94869,1156,82.067,0.041,0.511,0.016,0.019,0.002,47.9,1.145,-0.757,1.025,0,0,69,0.629,0.662,1.055,0.718,0.688,0.712,0.755,9.757,-0.559,0.604,0.495,9.0688,3,3.162,0,0,3,3.162,0,0,0,0
England,0,1,0,Breckland,E07000143,139329,1305,106.766,-0.569,0.504,0.022,0.027,0.004,46.4,0.433,0.578,1.244,0,0,54.2,0.879,1.376,0.99,1.034,1.503,0.93,0.765,11.515,-0.559,0.721,0.455,9.651,18,12.919,5,3.589,13,9.33,0,0,5,3.589
England,0,1,0,Broadland,E07000144,129464,552,234.536,-0.691,0.513,0.014,0.024,0.001,48,0.433,-1.09,0.18,0,0,53.3,0.879,1.376,0.859,0.256,1.503,1.219,0.748,12.063,-0.559,0.721,0.455,9.6456,16,12.359,0,0,15,11.586,0,0,1,0.772
England,0,1,0,Great Yarmouth,E07000145,99370,174,571.092,1.648,0.506,0.011,0.032,0.006,45.7,0.433,2.247,0.241,1182,0,79.7,0.879,1.376,1.418,2.172,1.503,0.742,0.755,11.465,-0.559,0.721,0.455,9.7636,21,21.133,0,0,21,21.133,0,0,0,0
England,0,1,0,King's Lynn and West Norfolk,E07000146,151811,1439,105.498,0.058,0.51,0.015,0.028,0.006,47.4,0.433,0.912,0.338,0,0,65.2,0.879,1.376,1.45,1.688,1.503,1.185,0.763,11.588,-0.559,0.721,0.455,9.6613,42,27.666,4,2.635,38,25.031,0,0,4,2.635
England,0,1,0,North Norfolk,E07000147,104552,962,108.682,-0.691,0.513,0.024,0.015,0.002,53.8,0.433,-0.423,1.33,0,0,56.8,0.879,1.376,2.726,2.89,1.503,2.498,0.758,11.399,-0.559,0.721,0.455,9.0466,17,16.26,0,0,17,16.26,0,0,0,0
England,0,1,0,Norwich,E07000148,141137,39,3618.897,1.257,0.504,0.036,0.093,0.005,33.3,0.433,1.246,-0.062,0,0,87.4,0.879,1.376,-1.563,-0.238,1.503,-1.006,0.738,12.572,2.1,0.721,0.455,10.3557,3,2.126,0,0,3,2.126,0,0,0,0
England,0,1,0,South Norfolk,E07000149,138017,908,152.001,-0.691,0.512,0.014,0.025,0.002,46.2,0.433,-1.09,1.081,0,0,49.7,0.879,1.376,0.557,0.298,1.503,0.956,0.755,11.937,-0.559,0.721,0.455,9.5959,14,10.144,2,1.449,11,7.97,1,0.725,3,2.174
England,0,1,0,Corby,E07000150,70827,80,885.338,0.238,0.507,0.004,0.045,0.003,37.4,0.163,2.915,-0.281,0,0,86,-0.349,0.035,-0.245,0.378,-0.038,-1.067,0.785,10.19,-0.559,-0.484,0.495,9.2498,14,19.766,0,0,14,19.766,0,0,0,0
England,0,1,0,Daventry,E07000151,84484,663,127.427,-0.475,0.503,0.025,0.036,0.002,45.1,0.163,-0.757,1.03,0,0,60.3,-0.349,0.035,0.089,-0.559,-0.038,-0.059,0.8,9.601,-0.559,-0.484,0.495,9.1664,21,24.857,1,1.184,20,23.673,0,0,1,1.184
England,0,1,0,East Northamptonshire,E07000152,93906,510,184.129,-0.691,0.506,0.021,0.035,0.002,44.6,0.163,-0.089,0.301,0,0,66.6,-0.349,0.035,0.137,-0.38,-0.038,-0.038,0.773,10.861,-0.559,-0.484,0.495,9.6243,35,37.271,14,14.909,20,21.298,0,0,15,15.973
England,0,1,0,Kettering,E07000153,101266,233,434.618,-0.023,0.509,0.01,0.062,0.003,41.2,0.163,0.912,0.275,0,0,70.1,-0.349,0.035,0.291,0.199,-0.038,-0.251,0.78,10.322,-0.559,-0.484,0.495,9.9042,21,20.737,3,2.962,18,17.775,0,0,3,2.962
England,0,1,0,Northampton,E07000154,225146,81,2779.58,0.167,0.503,0.017,0.156,0.010,37.2,0.163,1.58,-1.071,0,0,84,-0.349,0.035,-0.887,-0.357,-0.038,-0.988,0.788,10.399,1.776,-0.484,0.495,10.4061,63,27.982,7,3.109,51,22.652,3,1.332,12,5.33
England,0,1,0,South Northamptonshire,E07000155,92515,634,145.923,-0.691,0.508,0.008,0.032,0.002,45.2,0.163,-1.09,0.553,0,0,54.4,-0.349,0.035,0.017,-0.603,-0.038,-0.004,0.8,9.935,-0.559,-0.484,0.495,9.4674,18,19.456,1,1.081,17,18.375,0,0,1,1.081
England,0,1,0,Wellingborough,E07000156,79478,163,487.595,-0.084,0.509,0.01,0.127,0.004,41.9,0.163,1.58,0.331,0,0,79.9,-0.349,0.035,0.308,0.812,-0.038,-0.184,0.783,10.644,-0.559,-0.484,0.495,10.0602,15,18.873,2,2.516,13,16.357,0,0,2,2.516
England,0,1,0,Craven,E07000163,56832,1177,48.285,-0.691,0.515,0.019,0.026,0.004,50.1,0.715,-1.424,0.958,0,0,40.8,0.467,1.055,0.683,0.341,1.143,1.328,0.843,5.949,-0.559,1.06,0.403,6.2985,25,43.989,6,10.557,13,22.874,4,7.038,12,21.115
England,0,1,0,Hambleton,E07000164,91134,1311,69.515,-0.691,0.509,0.02,0.017,0.002,49.4,0.715,-1.758,1.132,0,0,49.8,0.467,1.055,0.842,0.793,1.143,0.909,0.773,8.483,1.561,1.06,0.403,7.2011,26,28.529,5,5.486,21,23.043,0,0,5,5.486
England,0,1,0,Harrogate,E07000165,160533,1308,122.732,-0.6,0.511,0.026,0.039,0.004,47,0.715,-1.09,0.835,0,0,60.1,0.467,1.055,0.249,0.192,1.143,0.601,0.77,8.26,-0.559,1.06,0.403,7.0806,44,27.409,16,9.967,25,15.573,1,0.623,19,11.836
England,0,1,0,Richmondshire,E07000166,53244,1319,40.367,-0.691,0.467,0.089,0.047,0.003,43.9,0.715,-0.757,0.366,0,0,59.9,0.467,1.055,-0.709,-0.144,1.143,-0.126,0.878,3.981,-0.559,1.06,0.403,6.3532,9,16.903,0,0,8,15.025,1,1.878,1,1.878
England,0,1,0,Ryedale,E07000167,54920,1507,36.443,-0.691,0.51,0.022,0.014,0.003,50,0.715,-1.09,0.071,0,0,43.2,0.467,1.055,1.206,1.412,1.143,1.318,0.763,9.717,-0.559,1.06,0.403,7.4078,8,14.567,0,0,7,12.746,1,1.821,1,1.821
England,0,1,0,Scarborough,E07000168,108736,816,133.255,0.515,0.514,0.022,0.025,0.004,49.7,0.715,0.245,1.364,0,0,77.6,0.467,1.055,1.467,1.978,1.143,1.217,0.765,8.61,-0.559,1.06,0.403,7.4835,21,19.313,8,7.357,11,10.116,2,1.839,10,9.197
England,0,1,0,Selby,E07000169,89106,599,148.758,-0.501,0.509,0.009,0.017,0.004,44.6,0.715,-0.757,0.064,0,0,64.1,0.467,1.055,0.03,0.026,1.143,-0.12,0.71,10.11,-0.559,1.06,0.403,8.2161,11,12.345,2,2.245,8,8.978,1,1.122,3,3.367
England,0,1,0,Ashfield,E07000170,127151,110,1155.918,0.852,0.509,0.011,0.023,0.003,42.1,1.258,0.912,0.179,0,0.067,82.2,-0.02,-0.028,0.683,0.824,-0.121,-0.254,0.775,9.208,-0.559,0.876,0.495,8.4402,45,35.391,9,7.078,33,25.953,2,1.573,12,9.438
England,0,1,0,Bassetlaw,E07000171,116839,638,183.133,-0.012,0.504,0.026,0.027,0.003,45.6,1.258,0.578,-0.017,0,0.067,74.5,-0.02,-0.028,0.906,0.415,-0.121,0.232,0.728,10.289,-0.559,0.876,0.495,8.5489,14,11.982,3,2.568,11,9.415,0,0,3,2.568
England,0,1,0,Broxtowe,E07000172,113272,80,1415.9,-0.691,0.503,0.008,0.074,0.003,43.2,1.258,-0.423,-0.463,0,0.067,60.8,-0.02,-0.028,0.05,-0.291,-0.121,0.21,0.775,9.821,-0.559,0.876,0.495,9.0226,33,29.133,3,2.648,30,26.485,0,0,3,2.648
England,0,1,0,Gedling,E07000173,117786,120,981.55,-0.567,0.513,0.007,0.07,0.003,44,1.258,-0.423,0.15,0,0.067,66.6,-0.02,-0.028,0.274,0.141,-0.121,0.304,0.768,9.554,1.776,0.876,0.495,8.9966,39,33.111,9,7.641,29,24.621,1,0.849,10,8.49
England,0,1,0,Mansfield,E07000174,108841,77,1413.519,0.729,0.508,0.009,0.028,0.004,42.1,1.258,1.246,0.587,0,0.067,77.4,-0.02,-0.028,0.868,1.242,-0.121,-0.145,0.755,9.785,-0.559,0.876,0.495,8.441,39,35.832,4,3.675,30,27.563,1,0.919,9,8.269
England,0,1,0,Newark and Sherwood,E07000175,121566,651,186.737,-0.283,0.508,0.02,0.025,0.003,45.2,1.258,-0.089,0.029,0,0.067,64.3,-0.02,-0.028,0.397,0.514,-0.121,0.342,0.75,10.072,-0.559,0.876,0.495,8.9479,33,27.146,8,6.581,24,19.742,1,0.823,9,7.403
England,0,1,0,Rushcliffe,E07000176,117671,409,287.704,-0.691,0.506,0.021,0.071,0.002,43.9,1.258,-2.092,-0.128,0,0.067,49.9,-0.02,-0.028,-0.638,-0.634,-0.121,0.4,0.755,10.233,-0.559,0.876,0.495,8.8271,23,19.546,7,5.949,15,12.747,1,0.85,8,6.799
England,0,1,0,Cherwell,E07000177,149161,589,253.244,-0.691,0.504,0.021,0.079,0.006,41.1,-0.536,-0.089,0.791,0,0.133,54.3,-1.526,-0.504,0.005,-0.512,-0.461,-0.409,0.81,10.085,-0.559,-0.278,0.619,10.2579,42,28.157,17,11.397,24,16.09,1,0.67,18,12.067
England,0,1,0,Oxford,E07000178,154327,46,3354.935,-0.577,0.49,0.123,0.23,0.016,29,-0.536,-0.757,-2.211,0,0.133,69.1,-1.526,-0.504,-2.923,-1.827,-0.461,-1.979,0.805,10.499,2.135,-0.278,0.619,10.8641,36,23.327,11,7.128,16,10.368,7,4.536,20,12.959
England,0,1,0,South Oxfordshire,E07000179,140504,679,206.928,-0.691,0.507,0.021,0.041,0.003,44.3,-0.536,-1.09,-0.084,0,0.133,42.6,-1.526,-0.504,-0.494,-0.685,-0.461,0.26,0.81,10.843,-0.559,-0.278,0.619,9.9215,32,22.775,11,7.829,21,14.946,0,0,11,7.829
England,0,1,0,Vale of White Horse,E07000180,133732,578,231.37,-0.691,0.502,0.024,0.052,0.002,42.6,-0.536,-1.09,0.485,0,0.133,45.8,-1.526,-0.504,-0.403,-0.494,-0.461,0.248,0.815,10.396,-0.559,-0.278,0.619,9.9914,63,47.109,35,26.172,26,19.442,2,1.496,37,27.667
England,0,1,0,West Oxfordshire,E07000181,109800,714,153.782,-0.691,0.508,0.023,0.033,0.003,44.4,-0.536,-1.09,0.917,0,0.133,44.9,-1.526,-0.504,-0.305,-0.693,-0.461,0.256,0.828,9.614,-0.559,-0.278,0.619,9.5659,33,30.055,11,10.018,21,19.126,1,0.911,12,10.929
England,0,1,0,Mendip,E07000187,114881,739,155.455,-0.546,0.513,0.03,0.021,0.004,46.6,-0.178,0.245,1.542,0,0,55.2,0.885,1.027,0.377,0.969,1.131,0.582,0.853,9.425,-0.559,0.912,0.498,8.1116,8,6.964,1,0.87,6,5.223,0,0,2,1.741
England,0,1,0,Sedgemoor,E07000188,122791,564,217.715,-0.148,0.509,0.013,0.017,0.003,46.5,-0.178,0.912,1.492,0,0,59.1,0.885,1.027,1.139,1.383,1.131,0.733,0.813,10.36,0.088,0.912,0.498,8.1804,15,12.216,2,1.629,12,9.773,1,0.814,3,2.443
England,0,1,0,South Somerset,E07000189,167861,959,175.038,-0.599,0.509,0.021,0.02,0.003,47.2,-0.178,0.245,1.148,0,0,58.2,0.885,1.027,0.737,0.718,1.131,1.032,0.82,10.592,-0.559,0.912,0.498,7.9176,14,8.34,6,3.574,8,4.766,0,0,6,3.574
England,0,1,0,Cannock Chase,E07000192,100109,79,1267.203,-0.374,0.504,0.007,0.023,0.004,42.6,0.397,0.578,0.289,0,0,77,-0.016,1.222,0.326,-0.142,1.284,-0.445,0.793,9.724,-0.559,0.351,0.414,8.5356,36,35.961,5,4.995,31,30.966,0,0,5,4.995
England,0,1,0,East Staffordshire,E07000193,118574,387,306.393,-0.294,0.498,0.018,0.096,0.004,42.1,0.397,0.245,-0.467,0,0,70.8,-0.016,1.222,0.354,0.017,1.284,-0.073,0.79,9.781,-0.559,0.351,0.414,8.4018,54,45.541,7,5.903,43,36.264,3,2.53,11,9.277
England,0,1,0,Lichfield,E07000194,103965,331,314.094,-0.691,0.505,0.017,0.033,0.003,46.3,0.397,-1.09,0.839,0,0,59.8,-0.016,1.222,0.525,-0.218,1.284,0.459,0.763,10.688,-0.559,0.351,0.414,8.5628,52,50.017,6,5.771,41,39.436,4,3.847,11,10.58
England,0,1,0,Newcastle-under-Lyme,E07000195,129490,211,613.697,-0.453,0.503,0.034,0.051,0.003,41.9,0.397,-0.089,-0.089,0,0,78.1,-0.016,1.222,-0.136,0.057,1.284,0.085,0.798,9.394,-0.559,0.351,0.414,7.6252,42,32.435,9,6.95,32,24.712,1,0.772,10,7.723
England,0,1,0,South Staffordshire,E07000196,112126,407,275.494,-0.691,0.499,0.018,0.041,0.002,47.7,0.397,-1.09,0.465,0,0,61.1,-0.016,1.222,0.651,0.002,1.284,0.668,0.778,10.429,-0.559,0.351,0.414,8.4542,46,41.025,6,5.351,39,34.782,1,0.892,7,6.243
England,0,1,0,Stafford,E07000197,135880,598,227.224,-0.691,0.5,0.025,0.051,0.003,45.2,0.397,-0.423,-0.029,0,0,52.9,-0.016,1.222,0.186,-0.121,1.284,0.365,0.785,10.056,-0.559,0.351,0.414,7.6986,29,21.342,3,2.208,25,18.399,1,0.736,4,2.944
England,0,1,0,Staffordshire Moorlands,E07000198,98397,576,170.828,-0.691,0.506,0.013,0.013,0.002,48.2,0.397,-0.757,0.237,0,0,56.4,-0.016,1.222,1.108,0.565,1.284,0.796,0.83,8.118,-0.559,0.351,0.414,6.9631,21,21.342,4,4.065,15,15.244,2,2.033,6,6.098
England,0,1,0,Tamworth,E07000199,76678,31,2473.484,0.055,0.51,0.005,0.027,0.004,41.2,0.397,0.578,-0.181,0,0,71.6,-0.016,1.222,-0.037,-0.189,1.284,-0.805,0.758,10.681,-0.559,0.351,0.414,9.3209,30,39.125,0,0,29,37.82,0,0,1,1.304
England,0,1,0,Babergh,E07000200,91401,594,153.874,-0.691,0.512,0.018,0.023,0.002,48.5,0.398,-0.757,0.77,0,0,47.9,0.654,0.525,0.947,0.783,0.331,0.99,0.76,11.792,-0.559,0.743,0.455,9.9836,15,16.411,2,2.188,13,14.223,0,0,2,2.188
England,0,1,0,Ipswich,E07000202,137532,40,3438.3,0.652,0.5,0.016,0.111,0.007,37.8,0.398,1.246,-0.327,2071,0,85,0.654,0.525,-0.522,-0.106,0.331,-0.604,0.755,12.036,1.668,0.743,0.455,10.9676,39,28.357,4,2.908,32,23.267,2,1.454,7,5.09
England,0,1,0,Mid Suffolk,E07000203,102493,871,117.673,-0.691,0.505,0.015,0.022,0.002,47.6,0.398,-1.09,0.393,0,0,43,0.654,0.525,0.505,0.362,0.331,0.7,0.76,11.613,-0.559,0.743,0.455,9.9134,21,20.489,6,5.854,15,14.635,0,0,6,5.854
England,0,1,0,Elmbridge,E07000207,136626,95,1438.168,-0.691,0.515,0.011,0.103,0.004,42.7,-1.577,-1.758,-0.319,0,0.267,51.6,-1.295,-0.323,-0.661,-1.426,-0.349,0.133,0.765,12.043,-0.559,0.196,0.619,11.0702,46,33.669,7,5.123,31,22.69,4,2.928,15,10.979
England,0,1,0,Epsom and Ewell,E07000208,79928,34,2350.824,-0.691,0.513,0.014,0.144,0.004,41.5,-1.577,-1.424,-1.18,0,0.267,48.4,-1.295,-0.323,-1.024,-1.031,-0.349,0.113,0.765,11.854,-0.559,0.196,0.619,11.279,39,48.794,2,2.502,35,43.789,1,1.251,4,5.005
England,0,1,0,Guildford,E07000209,147889,271,545.716,-0.691,0.5,0.046,0.093,0.005,37.5,-1.577,-1.424,-0.504,0,0.267,45.7,-1.295,-0.323,-1.618,-1.315,-0.349,-0.449,0.783,11.815,2.135,0.196,0.619,10.3606,22,14.876,6,4.057,16,10.819,0,0,6,4.057
England,0,1,0,Mole Valley,E07000210,87253,258,338.19,-0.691,0.512,0.016,0.052,0.004,47.1,-1.577,-1.424,0.027,0,0.267,41.9,-1.295,-0.323,0.206,-0.438,-0.349,0.992,0.788,11.592,-0.559,0.196,0.619,10.2431,42,48.136,6,6.877,35,40.113,1,1.146,7,8.023
